buss_no,fiscalyear,balancebf,current_balance,totalamountdue,transdate,electoralarea,assessmentby,buss_type
2095,2015,0,450,450,2015-11-02 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
2096,2015,0,400,400,2015-12-31 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
2097,2015,0,300,150,2015-12-31 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
6,2016,36,36,72,2016-07-08 00:00:00.000,ANOMABO,supervisor,Barber
57,2016,60,60,120,2016-07-08 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
60,2016,60,60,120,2016-07-08 00:00:00.000,ANOMABO,supervisor,Refrigerator/Phone/Generators Repaires
61,2016,36,36,72,2016-07-08 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
2102,2015,0,300,300,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
2103,2015,0,500,500,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
2104,2015,0,720,720,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
2105,2015,0,720,720,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
2106,2015,0,720,720,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
2107,2015,0,200,200,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,K.G to S.H.S.
2108,2015,0,1000,1000,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,K.G to S.H.S.
2109,2015,0,50,50,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Others
2110,2015,0,150,150,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,K.G to J.H.S.
2111,2015,0,150,150,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,K.G to J.H.S.
2112,2015,0,50,50,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,K.G to J.H.S.
2113,2015,0,100,200,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
2114,2015,0,750,500,2015-12-24 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
2115,2015,0,36,36,2015-12-25 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
2116,2015,0,45,36,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2117,2015,0,36,36,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2118,2015,0,36,36,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2119,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2120,2015,0,36,36,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
2121,2015,48,48,96,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2122,2015,0,48,48,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2123,2015,0,120,120,2015-12-31 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2124,2015,0,36,36,2015-12-31 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2125,2015,0,36,36,2015-12-31 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2126,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2127,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Chemical Sellers (Small)
2128,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2129,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2130,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2131,2015,0,60,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2132,2015,0,80,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2133,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2134,2015,0,72,120,2015-12-24 00:00:00.000,SALTPOND,supervisor, Bakers Small Scale
2135,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2136,2015,0,200,240,2015-12-24 00:00:00.000,SALTPOND,supervisor,Hard-Ware 
2137,2015,0,60,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
2138,2015,0,60,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
2139,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2140,2015,0,80,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Provision Store
2141,2015,0,36,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2142,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,SAW MILL
2143,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2144,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2145,2015,0,80,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Chemical Sellers (Small)
2146,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Provision Store
2147,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2148,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2149,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Provision Store
2150,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,SAW MILL
2151,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2152,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2153,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2154,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2155,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2156,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2157,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Corn Millers:     Cat. B - 1 Mill 
2158,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Provision Store
2159,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2160,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Provision Store
2161,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
281,2016,60,60,120,2016-07-08 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2162,2015,0,80,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,Provision Store
2163,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2164,2015,0,120,120,2015-12-24 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2165,2015,0,36,36,2015-12-24 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2166,2015,0,36,36,2015-12-25 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2167,2015,0,120,120,2015-12-25 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2168,2015,0,36,36,2015-12-25 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2169,2015,0,120,120,2015-12-25 00:00:00.000,SALTPOND,supervisor,GENERAL BUSINESS
2170,2015,0,36,36,2015-12-25 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2171,2015,0,120,120,2015-12-25 00:00:00.000,SALTPOND,supervisor,Provision Store
2172,2015,0,72,72,2015-12-25 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2173,2015,0,120,120,2015-12-25 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2174,2015,0,36,36,2015-12-25 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2175,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2176,2015,0,72,72,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2177,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2178,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2179,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2180,2015,0,100,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Provision Store
2181,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2182,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2183,2015,0,72,72,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2184,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2185,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2186,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2187,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2188,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2189,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
2190,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2191,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Provision Store
2192,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2193,2015,0,36,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2194,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2195,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2196,2015,0,60,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,TV & Electrical Appliance               Category  
2197,2015,0,72,72,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2198,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2199,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2200,2015,0,60,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
2201,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2202,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2203,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Refrigerator/Phone/Generators Repaires
2204,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
2205,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2206,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2207,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
2208,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2209,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2210,2015,0,36,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,Barber
2211,2015,0,72,72,2015-12-26 00:00:00.000,SALTPOND,supervisor,Provision Store
2212,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2213,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2214,2015,0,180,180,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2215,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2216,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2217,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2218,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2219,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2220,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2221,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2222,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2223,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2224,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2225,2015,0,36,36,2015-12-26 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
2226,2015,0,120,120,2015-12-26 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
2227,2015,0,36,36,2015-12-27 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2228,2015,0,120,120,2015-12-27 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2229,2015,0,36,36,2015-12-27 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2230,2015,0,36,36,2015-12-27 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2231,2015,0,36,36,2015-12-27 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
2232,2015,0,72,72,2015-12-27 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2233,2015,0,180,180,2015-12-27 00:00:00.000,MANKESSIM,supervisor,Chop Bar/Fast food Joint
2234,2015,0,100,100,2015-12-27 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2235,2015,0,72,72,2015-12-28 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2236,2015,0,36,36,2015-12-28 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2237,2015,0,72,72,2015-12-28 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2238,2015,0,36,36,2015-12-28 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
2239,2015,0,36,36,2015-12-28 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
2240,2015,0,120,120,2015-12-28 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2241,2015,0,36,36,2015-12-28 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2242,2015,0,72,72,2015-12-28 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2243,2015,0,72,72,2015-12-28 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
1655,2015,0,72,72,2015-12-29 00:00:00.000,MANKESSIM,supervisor,FOOTWARES
1657,2015,0,72,72,2015-12-29 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     A
1658,2015,0,72,72,2015-12-29 00:00:00.000,MANKESSIM,supervisor,Materials
1659,2015,0,72,72,2015-12-29 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2244,2015,0,120,120,2015-12-29 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2245,2015,0,72,72,2015-12-29 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2246,2015,0,72,72,2015-12-29 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2247,2015,0,120,120,2015-12-29 00:00:00.000,MANKESSIM,supervisor,COOKING UTENCILS
2248,2015,0,120,120,2015-12-29 00:00:00.000,MANKESSIM,supervisor,Materials
2249,2015,0,120,120,2015-12-29 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2250,2015,0,72,72,2015-12-29 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2251,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,COSMECTICS
2252,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,RICE/TOMATOES
2253,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2254,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Cement Shops
2255,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,PLASTICS WARES & RUBBERS
2256,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2257,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2258,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2259,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     A
2260,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2261,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2262,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2263,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2264,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2265,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2266,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Book/Stationery Stores
2267,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     A
2268,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2269,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2270,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,COSMECTICS
2271,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Boutique
2272,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2273,2015,0,36,36,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
2274,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,Refrigerator/Phone/Generators Repaires
2275,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2276,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2277,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2278,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2279,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2280,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,CLOTHINGS (2ND HAND ETC)
2281,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2282,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2283,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2284,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,PLASTICS WARES & RUBBERS
2285,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,FOOTWARES
2286,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2287,2015,0,120,120,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2288,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2289,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2290,2015,0,72,72,2015-12-30 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2291,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,CLOTHINGS (2ND HAND ETC)
2292,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2293,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2294,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2295,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2296,2015,0,120,120,2015-12-31 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2297,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
2298,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,FOOTWARES
2299,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,TOILETRIES
2300,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     A
2301,2015,0,72,72,2015-12-31 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     A
2302,2015,0,72,72,2015-12-31 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2303,2015,0,72,72,2015-12-31 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2304,2015,0,72,72,2015-12-31 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2305,2015,0,72,72,2015-12-31 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2306,2015,0,72,72,2015-12-31 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2307,2015,0,110,72,2015-12-31 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2308,2015,0,72,72,2015-12-31 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2309,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2310,2015,0,36,36,2015-12-28 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
2311,2015,0,36,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
2312,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2313,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2314,2015,0,48,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2315,2015,0,100,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2316,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2317,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2318,2015,0,36,36,2015-12-28 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2319,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2320,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2321,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2322,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2323,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2324,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2325,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2326,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2327,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2328,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2329,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2330,2015,0,36,36,2015-12-28 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
2331,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2332,2015,0,36,36,2015-12-28 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
2333,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2334,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2335,2015,0,60,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,Provision Store
2336,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2337,2015,0,36,36,2015-12-28 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
2338,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2339,2015,0,100,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2340,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2341,2015,0,58,50,2015-12-28 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2342,2015,0,120,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2343,2015,0,36,36,2015-12-28 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
2344,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2345,2015,0,60,60,2015-12-28 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
2346,2015,0,120,120,2015-12-28 00:00:00.000,ANOMABO,supervisor,Fetish Priest/Priestess/Herbalist    Category B
2347,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
2348,2015,0,72,72,2015-12-28 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
