buss_no,officer_no,paidamount,monthpaid,transdate,fiscal_year,receiptno,electroral_area,buss_type,email
154,1,10,July,2016-07-27 00:00:00.000,2016,2950409,MANKESSIM,Materials,
154,1,10,July,2016-07-27 00:00:00.000,2016,2950465,MANKESSIM,Materials,
1549,1,20,September,2016-09-21 00:00:00.000,2016,2950697,MANKESSIM,Medium Fitting Shop,
155,1,10,May,2015-05-27 00:00:00.000,2016,2946882,MANKESSIM,Materials,
155,1,10,May,2015-05-27 00:00:00.000,2016,2946895,MANKESSIM,Materials,
155,1,10,June,2016-06-11 00:00:00.000,2016,2948838,MANKESSIM,Materials,
155,1,10,July,2016-07-15 00:00:00.000,2016,2948886,MANKESSIM,Materials,
155,1,10,July,2016-07-27 00:00:00.000,2016,2950408,MANKESSIM,Materials,
155,1,10,August,2016-08-31 00:00:00.000,2016,2951703,MANKESSIM,Materials,
1554,1,6,August,2015-08-26 00:00:00.000,2016,2950734,MANKESSIM,Medium Fitting Shop,
1554,1,10,June,2016-06-22 00:00:00.000,2016,2947545,MANKESSIM,Medium Fitting Shop,
1554,1,10,June,2016-06-22 00:00:00.000,2016,2947554,MANKESSIM,Medium Fitting Shop,
1554,1,10,August,2016-08-24 00:00:00.000,2016,2950722,MANKESSIM,Medium Fitting Shop,
1556,1,10,September,2016-09-23 00:00:00.000,2016,2953103,MANKESSIM,Medium Fitting Shop,
1557,1,36,August,2016-08-19 00:00:00.000,2016,2950624,MANKESSIM,Medium Fitting Shop,
156,1,10,July,2016-07-08 00:00:00.000,2016,2948866,MANKESSIM,Materials,
156,1,10,July,2016-07-27 00:00:00.000,2016,2950421,MANKESSIM,Materials,
156,1,15,July,2016-07-27 00:00:00.000,2016,2950450,MANKESSIM,Materials,
156,1,10,September,2016-09-02 00:00:00.000,2016,2951718,MANKESSIM,Materials,
1563,1,20,October,2016-10-17 00:00:00.000,2016,2953153,MANKESSIM,Medium Fitting Shop,
1565,1,10,May,2016-05-16 00:00:00.000,2016,327673,MANKESSIM,Medium Fitting Shop,
1565,1,20,August,2016-08-29 00:00:00.000,2016,2950644,MANKESSIM,Medium Fitting Shop,
157,1,40,July,2016-07-27 00:00:00.000,2016,2950401,MANKESSIM,Materials,
1576,1,20,October,2016-10-17 00:00:00.000,2016,2953152,MANKESSIM,Medium Fitting Shop,
1577,1,10,September,2016-09-14 00:00:00.000,2016,2950676,MANKESSIM,Medium Fitting Shop,
158,1,10,March,2016-03-09 00:00:00.000,2016,323510,MANKESSIM,Materials,
1580,1,20,September,2016-09-23 00:00:00.000,2016,2953135,MANKESSIM,Medium Fitting Shop,
1581,1,10,May,2016-05-16 00:00:00.000,2016,327679,MANKESSIM,Medium Fitting Shop,
1582,1,36,May,2016-05-13 00:00:00.000,2016,327670,MANKESSIM,Medium Fitting Shop,
1585,1,16,August,2016-08-29 00:00:00.000,2016,2950645,MANKESSIM,Medium Fitting Shop,
1585,1,10,September,2016-09-23 00:00:00.000,2016,2953118,MANKESSIM,Medium Fitting Shop,
1586,1,50,June,2016-06-20 00:00:00.000,2016,2948611,MANKESSIM,Chemical sellers (Big),
1587,1,30,August,2016-08-17 00:00:00.000,2016,2950615,MANKESSIM,WOOD SELLER,
159,1,10,August,2016-08-11 00:00:00.000,2016,2950807,MANKESSIM,Materials,
159,1,5,August,2016-08-19 00:00:00.000,2016,2950840,MANKESSIM,Materials,
159,1,5,August,2016-08-24 00:00:00.000,2016,2950862,MANKESSIM,Materials,
1595,1,40,July,2016-07-12 00:00:00.000,2016,2948445,MANKESSIM,Medium Fitting Shop,
160,1,15,January,2016-01-06 00:00:00.000,2016,320137,MANKESSIM,Materials,
160,1,6,January,2016-01-15 00:00:00.000,2016,320159,MANKESSIM,Materials,
160,1,14,April,2016-04-27 00:00:00.000,2016,327791,MANKESSIM,Materials,
160,1,10,May,2016-05-06 00:00:00.000,2016,2946937,MANKESSIM,Materials,
161,1,20,March,2016-03-23 00:00:00.000,2016,326420,MANKESSIM,Materials,
161,1,10,April,2016-04-27 00:00:00.000,2016,327789,MANKESSIM,Materials,
161,1,10,June,2016-06-28 00:00:00.000,2016,2948584,MANKESSIM,Materials,
161,1,20,October,2016-10-12 00:00:00.000,2016,2953675,MANKESSIM,Materials,
1635,1,10,March,2016-03-10 00:00:00.000,2016,323195,MANKESSIM,Provision Store,
1635,1,10,April,2016-04-08 00:00:00.000,2016,326059,MANKESSIM,Provision Store,
1635,1,10,April,2016-04-15 00:00:00.000,2016,326082,MANKESSIM,Provision Store,
1636,1,10,April,2015-04-27 00:00:00.000,2016,2946908,MANKESSIM,COOKING UTENCILS,
1636,1,6,January,2016-01-15 00:00:00.000,2016,320147,MANKESSIM,COOKING UTENCILS,
1636,1,12,February,2016-02-06 00:00:00.000,2016,320190,MANKESSIM,COOKING UTENCILS,
1636,1,10,May,2016-05-11 00:00:00.000,2016,2946986,MANKESSIM,COOKING UTENCILS,
1636,1,10,June,2016-06-01 00:00:00.000,2016,2947942,MANKESSIM,COOKING UTENCILS,
1636,1,10,June,2016-06-07 00:00:00.000,2016,2947984,MANKESSIM,COOKING UTENCILS,
1636,1,10,July,2016-07-25 00:00:00.000,2016,2949757,MANKESSIM,COOKING UTENCILS,
1636,1,10,August,2016-08-15 00:00:00.000,2016,2950813,MANKESSIM,COOKING UTENCILS,
1636,1,10,September,2016-09-14 00:00:00.000,2016,2952036,MANKESSIM,COOKING UTENCILS,
1636,1,10,October,2016-10-12 00:00:00.000,2016,2953683,MANKESSIM,COOKING UTENCILS,
1638,1,20,February,2016-02-22 00:00:00.000,2016,323632,MANKESSIM,Paint Sellers only,
1638,1,20,March,2016-03-03 00:00:00.000,2016,323689,MANKESSIM,Paint Sellers only,
1638,1,20,March,2016-03-30 00:00:00.000,2016,326435,MANKESSIM,Paint Sellers only,
1638,1,10,April,2016-04-15 00:00:00.000,2016,327763,MANKESSIM,Paint Sellers only,
1638,1,20,May,2016-05-18 00:00:00.000,2016,2946990,MANKESSIM,Paint Sellers only,
1638,1,10,June,2016-06-07 00:00:00.000,2016,2947988,MANKESSIM,Paint Sellers only,
1638,1,10,September,2016-09-07 00:00:00.000,2016,2952025,MANKESSIM,Paint Sellers only,
1638,1,20,October,2016-10-05 00:00:00.000,2016,2953622,MANKESSIM,Paint Sellers only,
1639,1,10,May,2016-05-06 00:00:00.000,2016,2946949,MANKESSIM,Provision Store,
1639,1,10,June,2016-06-01 00:00:00.000,2016,2947946,MANKESSIM,Provision Store,
1639,1,10,August,2016-08-15 00:00:00.000,2016,2950818,MANKESSIM,Provision Store,
1639,1,10,September,2016-09-21 00:00:00.000,2016,2952057,MANKESSIM,Provision Store,
1639,1,10,October,2016-10-05 00:00:00.000,2016,2953624,MANKESSIM,Provision Store,
1639,1,10,October,2016-10-12 00:00:00.000,2016,2953653,MANKESSIM,Provision Store,
164,1,60,June,2016-06-07 00:00:00.000,2016,2948410,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
1640,1,6,January,2016-01-15 00:00:00.000,2016,320156,MANKESSIM,GENERAL GOODS,
1640,1,20,September,2016-09-14 00:00:00.000,2016,2952040,MANKESSIM,GENERAL GOODS,
1640,1,21,October,2016-10-12 00:00:00.000,2016,2953651,MANKESSIM,GENERAL GOODS,
1641,1,10,May,2015-05-04 00:00:00.000,2016,2946916,MANKESSIM,GENERAL GOODS,
1641,1,10,March,2016-03-12 00:00:00.000,2016,323557,MANKESSIM,GENERAL GOODS,
1641,1,15,August,2016-08-15 00:00:00.000,2016,2950816,MANKESSIM,GENERAL GOODS,
1641,1,10,September,2016-09-07 00:00:00.000,2016,2952007,MANKESSIM,GENERAL GOODS,
1641,1,5,September,2016-09-14 00:00:00.000,2016,2952053,MANKESSIM,GENERAL GOODS,
1641,1,10,October,2016-10-05 00:00:00.000,2016,2953625,MANKESSIM,GENERAL GOODS,
1642,1,20,April,2015-04-27 00:00:00.000,2016,327637,MANKESSIM,GENERAL GOODS,
1642,1,6,March,2016-03-03 00:00:00.000,2016,323694,MANKESSIM,GENERAL GOODS,
1642,1,10,August,2016-08-12 00:00:00.000,2016,2950601,MANKESSIM,GENERAL GOODS,
1642,1,10,September,2016-09-21 00:00:00.000,2016,2950693,MANKESSIM,GENERAL GOODS,
1642,1,10,September,2016-09-27 00:00:00.000,2016,2952081,MANKESSIM,GENERAL GOODS,
1642,1,10,October,2016-10-12 00:00:00.000,2016,2953678,MANKESSIM,GENERAL GOODS,
1643,1,20,June,2016-06-07 00:00:00.000,2016,2947985,MANKESSIM,GENERAL GOODS,
1643,1,6,September,2016-09-21 00:00:00.000,2016,2952062,MANKESSIM,GENERAL GOODS,
1644,1,12,January,2016-01-15 00:00:00.000,2016,320154,MANKESSIM,TV & Electrical Appliance               Category  ,
1644,1,10,February,2016-02-22 00:00:00.000,2016,323629,MANKESSIM,TV & Electrical Appliance               Category  ,
1644,1,10,March,2016-03-09 00:00:00.000,2016,323543,MANKESSIM,TV & Electrical Appliance               Category  ,
1644,1,10,June,2016-06-07 00:00:00.000,2016,2947986,MANKESSIM,TV & Electrical Appliance               Category  ,
1644,1,10,June,2016-06-15 00:00:00.000,2016,2948504,MANKESSIM,TV & Electrical Appliance               Category  ,
1644,1,10,September,2016-09-07 00:00:00.000,2016,2952027,MANKESSIM,TV & Electrical Appliance               Category  ,
1644,1,10,October,2016-10-05 00:00:00.000,2016,2953619,MANKESSIM,TV & Electrical Appliance               Category  ,
1645,1,14,February,2016-02-22 00:00:00.000,2016,323630,MANKESSIM,GENERAL GOODS,
1645,1,6,September,2016-09-14 00:00:00.000,2016,2952034,MANKESSIM,GENERAL GOODS,
1646,1,12,February,2016-02-22 00:00:00.000,2016,323622,MANKESSIM,Book/Stationery Stores,
1646,1,6,June,2016-06-15 00:00:00.000,2016,2948508,MANKESSIM,Book/Stationery Stores,
1646,1,12,October,2016-10-05 00:00:00.000,2016,2953623,MANKESSIM,Book/Stationery Stores,
165,1,50,October,2016-10-17 00:00:00.000,2016,2953150,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
1651,1,10,April,2016-04-13 00:00:00.000,2016,327745,MANKESSIM,GENERAL GOODS,
1651,1,15,July,2016-07-28 00:00:00.000,2016,2949791,MANKESSIM,GENERAL GOODS,
1651,1,10,September,2016-09-14 00:00:00.000,2016,2952052,MANKESSIM,GENERAL GOODS,
1651,1,10,October,2016-10-05 00:00:00.000,2016,2953621,MANKESSIM,GENERAL GOODS,
1652,1,10,March,2016-03-30 00:00:00.000,2016,326433,MANKESSIM,Boutique,
1652,1,20,July,2016-07-28 00:00:00.000,2016,2949790,MANKESSIM,Boutique,
1653,1,6,February,2016-02-22 00:00:00.000,2016,323621,MANKESSIM,PLASTICS WARES & RUBBERS,
1653,1,6,June,2016-06-01 00:00:00.000,2016,2947944,MANKESSIM,PLASTICS WARES & RUBBERS,
1653,1,10,September,2016-09-07 00:00:00.000,2016,2952001,MANKESSIM,PLASTICS WARES & RUBBERS,
1653,1,10,September,2016-09-14 00:00:00.000,2016,2952054,MANKESSIM,PLASTICS WARES & RUBBERS,
1653,1,10,October,2016-10-05 00:00:00.000,2016,2953647,MANKESSIM,PLASTICS WARES & RUBBERS,
1654,1,12,March,2016-03-12 00:00:00.000,2016,323555,MANKESSIM,GENERAL GOODS,
1654,1,7,June,2016-06-01 00:00:00.000,2016,2947945,MANKESSIM,GENERAL GOODS,
1654,1,7,June,2016-06-15 00:00:00.000,2016,2948507,MANKESSIM,GENERAL GOODS,
1654,1,9,September,2016-09-07 00:00:00.000,2016,2952023,MANKESSIM,GENERAL GOODS,
1654,1,12,October,2016-10-05 00:00:00.000,2016,2953620,MANKESSIM,GENERAL GOODS,
1655,1,20,February,2016-02-22 00:00:00.000,2016,323631,MANKESSIM,FOOTWARES,
1655,1,20,May,2016-05-11 00:00:00.000,2016,2946989,MANKESSIM,FOOTWARES,
1655,1,10,July,2016-07-28 00:00:00.000,2016,2949766,MANKESSIM,FOOTWARES,
1655,1,5,September,2016-09-07 00:00:00.000,2016,2952024,MANKESSIM,FOOTWARES,
1655,1,10,September,2016-09-21 00:00:00.000,2016,2952056,MANKESSIM,FOOTWARES,
1656,1,20,May,2016-05-18 00:00:00.000,2016,2946991,MANKESSIM,Others,
1657,1,8,March,2016-03-12 00:00:00.000,2016,323561,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1658,1,10,February,2016-02-22 00:00:00.000,2016,323633,MANKESSIM,Materials,
1658,1,10,June,2016-06-01 00:00:00.000,2016,2947978,MANKESSIM,Materials,
1658,1,10,August,2016-08-24 00:00:00.000,2016,2950873,MANKESSIM,Materials,
1658,1,10,September,2016-09-21 00:00:00.000,2016,2952058,MANKESSIM,Materials,
166,1,10,March,2016-03-10 00:00:00.000,2016,320955,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
166,1,10,April,2016-04-15 00:00:00.000,2016,327631,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
166,1,5,May,2016-05-16 00:00:00.000,2016,327672,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
166,1,10,June,2016-06-07 00:00:00.000,2016,2948411,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
166,1,10,June,2016-06-08 00:00:00.000,2016,2948452,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
166,1,10,August,2016-08-31 00:00:00.000,2016,2950654,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
166,1,5,September,2016-09-23 00:00:00.000,2016,2953113,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
1660,1,6,June,2016-06-28 00:00:00.000,2016,2948574,MANKESSIM,Others,
1660,1,16,July,2016-07-13 00:00:00.000,2016,2949708,MANKESSIM,Others,
1660,1,8,September,2016-09-14 00:00:00.000,2016,2952055,MANKESSIM,Others,
1660,1,16,September,2016-09-14 00:00:00.000,2016,2952043,MANKESSIM,Others,
1660,1,12,October,2016-10-05 00:00:00.000,2016,2953627,MANKESSIM,Others,
1661,1,14,June,2016-06-16 00:00:00.000,2016,2948544,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1661,1,14,August,2016-08-04 00:00:00.000,2016,2949797,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1662,1,21,March,2016-03-30 00:00:00.000,2016,326443,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1662,1,21,June,2016-06-01 00:00:00.000,2016,2947961,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1663,1,6,March,2016-03-30 00:00:00.000,2016,326457,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1663,1,6,July,2016-07-20 00:00:00.000,2016,2949746,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1664,1,20,March,2016-03-02 00:00:00.000,2016,323669,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1665,1,12,June,2015-06-16 00:00:00.000,2016,2948530,MANKESSIM,GENERAL GOODS,
1665,1,12,March,2016-03-31 00:00:00.000,2016,326460,MANKESSIM,GENERAL GOODS,
1665,1,6,September,2016-09-23 00:00:00.000,2016,2952078,MANKESSIM,GENERAL GOODS,
1665,1,12,October,2016-10-12 00:00:00.000,2016,2953686,MANKESSIM,GENERAL GOODS,
1666,1,10,March,2016-03-23 00:00:00.000,2016,326407,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1667,1,10,May,2015-05-04 00:00:00.000,2016,2946910,MANKESSIM,Mobile phone dealer,
1667,1,5,February,2016-02-03 00:00:00.000,2016,323609,MANKESSIM,Mobile phone dealer,
1668,1,10,September,2016-09-07 00:00:00.000,2016,2952033,MANKESSIM,COSMECTICS,
1669,1,10,February,2016-02-24 00:00:00.000,2016,323646,MANKESSIM,Provision Store,
1669,1,20,April,2016-04-06 00:00:00.000,2016,326489,MANKESSIM,Provision Store,
1670,1,20,March,2016-04-06 00:00:00.000,2016,326480,MANKESSIM,Hard-Ware ,
1670,1,10,May,2016-05-25 00:00:00.000,2016,2947914,MANKESSIM,Hard-Ware ,
1670,1,30,July,2016-07-28 00:00:00.000,2016,2949789,MANKESSIM,Hard-Ware ,
1671,1,21,June,2015-06-15 00:00:00.000,2016,2948529,MANKESSIM,GENERAL GOODS,
1671,1,20,February,2016-02-24 00:00:00.000,2016,323643,MANKESSIM,GENERAL GOODS,
1672,1,10,July,2016-07-25 00:00:00.000,2016,2949752,MANKESSIM,GENERAL GOODS,
1672,1,20,August,2016-08-15 00:00:00.000,2016,2950819,MANKESSIM,GENERAL GOODS,
1672,1,10,September,2016-09-21 00:00:00.000,2016,2952063,MANKESSIM,GENERAL GOODS,
1672,1,8,October,2016-10-19 00:00:00.000,2016,2953692,MANKESSIM,GENERAL GOODS,
1673,1,10,March,2016-03-09 00:00:00.000,2016,323532,MANKESSIM,GENERAL GOODS,
1673,1,10,April,2016-04-06 00:00:00.000,2016,326485,MANKESSIM,GENERAL GOODS,
1673,1,20,June,2016-06-01 00:00:00.000,2016,2947953,MANKESSIM,GENERAL GOODS,
1675,1,14,June,2015-06-15 00:00:00.000,2016,2948524,MANKESSIM,COOKING UTENCILS,
1675,1,12,March,2016-03-02 00:00:00.000,2016,323656,MANKESSIM,COOKING UTENCILS,
1675,1,11,July,2016-07-28 00:00:00.000,2016,2949781,MANKESSIM,COOKING UTENCILS,
1675,1,14,September,2016-09-07 00:00:00.000,2016,2952017,MANKESSIM,COOKING UTENCILS,
1675,1,10,October,2016-10-12 00:00:00.000,2016,2953664,MANKESSIM,COOKING UTENCILS,
1676,1,12,March,2016-03-23 00:00:00.000,2016,326419,MANKESSIM,COSMECTICS,
1677,1,10,January,2016-01-15 00:00:00.000,2016,320148,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1677,1,15,April,2016-04-13 00:00:00.000,2016,327742,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1677,1,13,May,2016-05-18 00:00:00.000,2016,2946998,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1678,1,10,January,2016-01-06 00:00:00.000,2016,320133,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1678,1,14,March,2016-03-16 00:00:00.000,2016,323585,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1678,1,14,May,2016-05-18 00:00:00.000,2016,2946999,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1678,1,14,August,2016-08-04 00:00:00.000,2016,2949799,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1678,1,14,September,2016-09-14 00:00:00.000,2016,2952049,MANKESSIM,Wax Print Dealers/Materials    Category     A,
1678,1,14,October,2016-10-05 00:00:00.000,2016,2953633,MANKESSIM,Wax Print Dealers/Materials    Category     A,
168,1,12,April,2016-04-11 00:00:00.000,2016,327615,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
168,1,12,May,2016-05-13 00:00:00.000,2016,327665,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
168,1,12,August,2016-08-17 00:00:00.000,2016,2950612,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
1680,1,14,May,2016-05-04 00:00:00.000,2016,2946926,MANKESSIM,Bags                  Category A,
171,1,18,April,2015-04-27 00:00:00.000,2016,327646,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
171,1,6,July,2016-07-27 00:00:00.000,2016,2948475,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
171,1,5,August,2016-08-24 00:00:00.000,2016,2950634,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
171,1,5,September,2016-09-23 00:00:00.000,2016,2953120,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
1719,1,10,March,2016-03-30 00:00:00.000,2016,320979,MANKESSIM,GENERAL GOODS,
1719,1,10,April,2016-04-11 00:00:00.000,2016,327609,MANKESSIM,GENERAL GOODS,
1719,1,15,May,2016-05-04 00:00:00.000,2016,327650,MANKESSIM,GENERAL GOODS,
1719,1,10,June,2016-06-07 00:00:00.000,2016,2948403,MANKESSIM,GENERAL GOODS,
1719,1,10,July,2016-07-06 00:00:00.000,2016,2948438,MANKESSIM,GENERAL GOODS,
1719,1,20,August,2016-08-12 00:00:00.000,2016,2950607,MANKESSIM,GENERAL GOODS,
1719,1,10,September,2016-09-14 00:00:00.000,2016,2950677,MANKESSIM,GENERAL GOODS,
173,1,20,March,2016-03-09 00:00:00.000,2016,323699,MANKESSIM,GENERAL GOODS,
173,1,10,June,2016-06-28 00:00:00.000,2016,2948586,MANKESSIM,GENERAL GOODS,
1745,1,5,August,2016-08-12 00:00:00.000,2016,2950608,MANKESSIM,Barber,
1746,1,20,February,2016-02-29 00:00:00.000,2016,320942,MANKESSIM,Others,
1746,1,40,March,2016-03-18 00:00:00.000,2016,320953,MANKESSIM,Others,
1748,1,12,April,2015-04-27 00:00:00.000,2016,327636,MANKESSIM,Chop Bar/Fast food Joint,
1748,1,15,June,2016-06-07 00:00:00.000,2016,2948407,MANKESSIM,Chop Bar/Fast food Joint,
1748,1,20,July,2016-07-29 00:00:00.000,2016,2948483,MANKESSIM,Chop Bar/Fast food Joint,
1748,1,12,September,2016-09-28 00:00:00.000,2016,2953139,MANKESSIM,Chop Bar/Fast food Joint,
1749,1,10,April,2016-04-11 00:00:00.000,2016,327614,MANKESSIM,Chop Bar/Fast food Joint,
1749,1,20,July,2016-07-12 00:00:00.000,2016,2948451,MANKESSIM,Chop Bar/Fast food Joint,
1749,1,10,August,2016-08-03 00:00:00.000,2016,2948492,MANKESSIM,Chop Bar/Fast food Joint,
1750,1,5,August,2016-08-17 00:00:00.000,2016,2950621,MANKESSIM,Others,
1750,1,10,September,2016-09-23 00:00:00.000,2016,2953115,MANKESSIM,Others,
1753,1,10,June,2016-06-07 00:00:00.000,2016,2948418,MANKESSIM,Barber,
1753,1,5,September,2016-09-23 00:00:00.000,2016,2953102,MANKESSIM,Barber,
1754,1,240,February,2016-02-19 00:00:00.000,2016,320926,MANKESSIM,Others,
1756,1,5,April,2016-04-06 00:00:00.000,2016,320988,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1757,1,6,May,2016-05-25 00:00:00.000,2016,327688,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1757,1,6,October,2016-10-17 00:00:00.000,2016,2953158,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1759,1,16,April,2015-04-27 00:00:00.000,2016,327633,MANKESSIM,Chop Bar/Fast food Joint,
1759,1,30,March,2016-03-16 00:00:00.000,2016,320970,MANKESSIM,Chop Bar/Fast food Joint,
1759,1,32,June,2016-06-15 00:00:00.000,2016,2948437,MANKESSIM,Chop Bar/Fast food Joint,
1760,1,50,June,2016-06-15 00:00:00.000,2016,2948419,MANKESSIM,GENERAL GOODS,
1760,1,50,July,2016-07-22 00:00:00.000,2016,2948471,MANKESSIM,GENERAL GOODS,
1760,1,50,September,2016-09-21 00:00:00.000,2016,2950687,MANKESSIM,GENERAL GOODS,
1760,1,30,October,2016-10-17 00:00:00.000,2016,2953157,MANKESSIM,GENERAL GOODS,
1766,1,10,March,2016-03-31 00:00:00.000,2016,326043,MANKESSIM,GENERAL GOODS,
1766,1,10,March,2016-03-31 00:00:00.000,2016,326057,MANKESSIM,GENERAL GOODS,
1766,1,10,April,2016-04-15 00:00:00.000,2016,326090,MANKESSIM,GENERAL GOODS,
1769,1,20,April,2016-04-11 00:00:00.000,2016,327604,MANKESSIM,GENERAL GOODS,
1769,1,20,May,2016-05-04 00:00:00.000,2016,327657,MANKESSIM,GENERAL GOODS,
1769,1,20,August,2016-08-12 00:00:00.000,2016,2950605,MANKESSIM,GENERAL GOODS,
1769,1,20,September,2016-09-23 00:00:00.000,2016,2953106,MANKESSIM,GENERAL GOODS,
177,1,15,September,2015-09-16 00:00:00.000,2016,2951540,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1773,1,30,September,2016-09-02 00:00:00.000,2016,2950656,MANKESSIM,Chop Bar/Fast food Joint,
1776,1,15,April,2016-04-11 00:00:00.000,2016,327611,MANKESSIM,GENERAL GOODS,
1776,1,10,May,2016-05-16 00:00:00.000,2016,327674,MANKESSIM,GENERAL GOODS,
1776,1,5,June,2016-06-15 00:00:00.000,2016,2948430,MANKESSIM,GENERAL GOODS,
1776,1,15,September,2016-09-14 00:00:00.000,2016,2950678,MANKESSIM,GENERAL GOODS,
1779,1,10,June,2016-06-07 00:00:00.000,2016,2948401,MANKESSIM,GENERAL GOODS,
1779,1,10,July,2016-07-06 00:00:00.000,2016,2948439,MANKESSIM,GENERAL GOODS,
1779,1,10,August,2016-08-17 00:00:00.000,2016,2950614,MANKESSIM,GENERAL GOODS,
1779,1,10,September,2016-09-07 00:00:00.000,2016,2950664,MANKESSIM,GENERAL GOODS,
1779,1,10,September,2016-09-28 00:00:00.000,2016,2953142,MANKESSIM,GENERAL GOODS,
178,1,10,August,2015-08-26 00:00:00.000,2016,2951503,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
178,1,5,May,2016-05-13 00:00:00.000,2016,325777,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
178,1,5,August,2016-08-08 00:00:00.000,2016,2948659,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1781,1,10,April,2016-04-15 00:00:00.000,2016,327621,MANKESSIM,GENERAL GOODS,
1781,1,10,September,2016-09-23 00:00:00.000,2016,2953104,MANKESSIM,GENERAL GOODS,
1782,1,20,August,2016-08-12 00:00:00.000,2016,2950602,MANKESSIM,Chop Bar/Fast food Joint,
1787,1,40,April,2015-04-27 00:00:00.000,2016,327640,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
1787,1,15,May,2016-05-04 00:00:00.000,2016,327647,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
169,1,20,December,2017-12-06 00:00:00.000,2017,8968064,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
169,1,10,December,2017-12-28 00:00:00.000,2017,8970242,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
171,1,10,October,2017-10-31 00:00:00.000,2017,8966373,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
171,1,10,November,2017-11-09 00:00:00.000,2017,8966386,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
171,1,20,November,2017-11-15 00:00:00.000,2017,8968014,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
171,1,10,December,2017-12-20 00:00:00.000,2017,8970215,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
1714,1,10,January,2017-01-13 00:00:00.000,2017,2954684,MANKESSIM,GENERAL GOODS,
1719,1,20,July,2017-07-05 00:00:00.000,2017,8957646,MANKESSIM,GENERAL GOODS,
1719,1,10,July,2017-07-07 00:00:00.000,2017,8957639,MANKESSIM,GENERAL GOODS,
1719,1,10,July,2017-07-21 00:00:00.000,2017,8960447,MANKESSIM,GENERAL GOODS,
1719,1,20,July,2017-07-21 00:00:00.000,2017,8960424,MANKESSIM,GENERAL GOODS,
1719,1,10,September,2017-09-07 00:00:00.000,2017,8962349,MANKESSIM,GENERAL GOODS,
1719,1,20,October,2017-10-06 00:00:00.000,2017,8964954,MANKESSIM,GENERAL GOODS,
1719,1,20,October,2017-10-31 00:00:00.000,2017,8966348,MANKESSIM,GENERAL GOODS,
1719,1,80,November,2017-11-15 00:00:00.000,2017,8968006,MANKESSIM,GENERAL GOODS,
1729,1,10,August,2017-08-24 00:00:00.000,2017,8962317,MANKESSIM,GENERAL GOODS,
1729,1,50,October,2017-10-13 00:00:00.000,2017,8964989,MANKESSIM,GENERAL GOODS,
